,brand,model,variant,price,year,mileage,transmission,fuel,colour
34,,C3 (2016-2020),C3 Origins,"12,488",2020,"6,521.0",Manual,Petrol,Metallic - Perla nera black
35,,C3 (2016-2020),C3 Flair,"12,699",2020,"11,085.0",Manual,Petrol,Metallic - Ruby red
36,,C3 (2016-2020),C3 Flair,"10,250",2018,"22,928.0",Manual,Petrol,Metallic - Ruby red
37,,C3 (2016-2020),C3 Feel,"10,685",2019,"11,425.0",Manual,Petrol,Metallic - Ruby red
38,,C3 (2016-2020),C3 Flair,"10,985",2019,"8,383.0",Manual,Petrol,Metallic - Cumulus grey
39,,C3 (2016-2020),C3 Flair,"11,395",2019,"19,377.0",Manual,Petrol,Metallic - Cobalt blue
40,,C3 (2016-2020),C3 Flair Nav Edition,"11,491",2018,"17,155.0",Manual,Petrol,Metallic - Perla nera black
41,,C3 (2016-2020),C3 Flair,"12,770",2020,"14,687.0",Manual,Petrol,Metallic - Perla nera black
42,,C3 (2016-2020),C3 Flair Plus,"15,876",2019,"7,541.0",Automatic,Petrol,Metallic - Platinum grey
43,,C3 (2016-2020),C3 Flair,"10,499","22,268.0 miles",1.2,Petrol,5,Unknown
44,,C3 (2016-2020),C3 Flair,"11,999","16,765.0 miles",1.2,Petrol,5,Unknown
45,,C3 (2016-2020),C3 Flair,"10,844",2019,"18,318.0",Manual,Petrol,Metallic - Power Orange
46,,C3 (2016-2020),C3 Origins,"12,488",2020,"6,521.0",Manual,Petrol,Metallic - Perla nera black
47,,C3 (2016-2020),C3 Flair,"12,699",2020,"11,085.0",Manual,Petrol,Metallic - Ruby red
48,,C3 (2016-2020),C3 Flair,"10,250",2018,"22,928.0",Manual,Petrol,Metallic - Ruby red
49,,C3 (2016-2020),C3 Feel,"10,685",2019,"11,425.0",Manual,Petrol,Metallic - Ruby red
50,,C3 (2016-2020),C3 Flair,"10,985",2019,"8,383.0",Manual,Petrol,Metallic - Cumulus grey
51,,C3 (2016-2020),C3 Flair,"11,395",2019,"19,377.0",Manual,Petrol,Metallic - Cobalt blue
52,,C3 (2016-2020),C3 Flair Nav Edition,"11,491",2018,"17,155.0",Manual,Petrol,Metallic - Perla nera black
53,,C3 (2016-2020),C3 Flair,"12,770",2020,"14,687.0",Manual,Petrol,Metallic - Perla nera black
54,,C3 (2016-2020),C3 Flair Plus,"15,876",2019,"7,541.0",Automatic,Petrol,Metallic - Platinum grey
55,,C3 (2016-2020),C3 Flair,"10,499","22,268.0 miles",1.2,Petrol,5,Unknown
56,,C3 (2016-2020),C3 Flair,"11,999","16,765.0 miles",1.2,Petrol,5,Unknown
57,,C3 (2016-2020),C3 Flair,"10,844",2019,"18,318.0",Manual,Petrol,Metallic - Power Orange
58,,C3 (2016-2020),C3 Origins,"12,488",2020,"6,521.0",Manual,Petrol,Metallic - Perla nera black
59,,C3 (2016-2020),C3 Flair,"12,699",2020,"11,085.0",Manual,Petrol,Metallic - Ruby red
0,,Berlingo Multispace (2008-2018),Berlingo Multispace (2008-2018) Feel,"13,899","27,514.0 miles",1.2,Petrol,5,Unknown
1,,Berlingo Multispace (2008-2018),Berlingo Multispace (2008-2018) Flair,"14,599","21,570.0 miles",1.6,Diesel,5,Unknown
2,,Berlingo Multispace (2008-2018),Berlingo Multispace (2008-2018) Flair,"13,995",2017,"29,021.0",Manual,Petrol,Unknown
3,,Berlingo Multispace (2008-2018),Berlingo Multispace (2008-2018) Flair,"11,995","54,783.0 miles",1.6,Diesel,5,Unknown
